[0918/114046.634:INFO:CONSOLE(139)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yh/r/_NkrZRLk2Ug.js?_nc_x=Ij3Wp8lg5Kz (139)
[0918/114046.664:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Feature xr-spatial-tracking's parameters are ignored.", source:  (0)
[0918/114046.664:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'attribution-reporting'.", source:  (0)
[0918/114046.665:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'compute-pressure'.", source:  (0)
[0918/114046.665:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[0918/114046.665:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-issuance'.", source:  (0)
[0918/114046.665:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'shared-storage'.", source:  (0)
[0918/114046.665:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'shared-storage-select-url'.", source:  (0)
[0918/114046.666:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-redemption'.", source:  (0)
[0918/114046.666:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'unload'.", source:  (0)
[0918/114046.666:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'window-management'.", source:  (0)
[0918/114050.316:INFO:CONSOLE(343)] "WAWebLoggerWorker initialized", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114050.318:INFO:CONSOLE(343)] "[storage] start setSchemaVersions from fts worker interface", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114050.319:INFO:CONSOLE(343)] "[storage] set schema versions: [model-storage,159,fts-storage,8,jobs-storage,1,lru-media-storage-idb,2,offd-storage,4,qpl-storage,0,signal-storage,6,worker-storage,1,sw,2,wawc,14,wawc_db_enc,2]. is worker? true", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114053.959:INFO:CONSOLE(343)] "FTS:Delegate: start indexer", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114053.959:INFO:CONSOLE(343)] "FTS:Delegate: start perform init", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114053.959:INFO:CONSOLE(343)] "FTS:Delegate: schema versions ready", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114053.959:INFO:CONSOLE(343)] "FTS:Delegate: before db initialization", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114053.959:INFO:CONSOLE(343)] "[storage] applying schema versions from [0 to 8] for the database: 'fts-storage'", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114054.002:INFO:CONSOLE(343)] "[storage] applying schema versions from [0 to 159] for the database: 'model-storage'", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114056.216:INFO:CONSOLE(343)] "FTS:Delegate: after db initialization", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114056.266:INFO:CONSOLE(343)] "FTS:Manifest Writer: No changes made, current:['3.1', '1'], latest:['3.1', '1']", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114056.266:INFO:CONSOLE(343)] "FTS:Delegate: Inited", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114056.266:INFO:CONSOLE(343)] "FTS:Delegate: Init indexing ops", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114056.267:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114056.270:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114056.366:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114100.308:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114100.328:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114100.333:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114226.841:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114226.865:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
[0918/114226.867:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/yd/r/hQZQ_voz0Ly.js?_nc_x=Ij3Wp8lg5Kz (343)
